name,price,quantity,category
area,471.4281196624763,27,Electronics
building,271.8319850914119,23,Clothes
according,166.32208043928227,10,Home
major,179.94391346251288,15,Home
prepare,28.126791868570237,36,Books
impact,42.38746411191289,70,Home
shoulder,446.1061918252197,2,Sports
street,126.52157081315805,13,Clothes
room,386.09831839806253,22,Clothes
central,131.8711699240415,84,Clothes
including,280.77428957880693,43,Electronics
letter,336.5740170967197,10,Books
likely,432.9601278700386,22,Books
ten,450.56171254953625,70,Clothes
number,326.33156933160683,96,Electronics
majority,35.28313630314341,30,Home
concern,439.55491528828037,36,Electronics
staff,395.339086030742,48,Books
bank,315.98867523083857,43,Sports
discuss,275.11100678242485,81,Clothes
gas,215.8237059197035,16,Sports
which,45.59662545033289,16,Sports
us,313.36883658705483,84,Sports
dark,198.64151408955507,21,Clothes
business,463.6134155094873,11,Electronics
one,71.20797348381265,38,Home
person,496.8756906406077,44,Sports
subject,364.868237553024,14,Clothes
opportunity,117.99271838542883,83,Books
on,425.91541561648324,27,Books
bar,327.7955262263952,56,Clothes
account,343.05169576915137,33,Sports
when,248.6645275519234,78,Home
add,459.3952186196423,69,Home
total,298.949278023323,51,Sports
training,271.68205151967834,30,Books
offer,466.88660545579415,64,Sports
draw,81.23547195645062,28,Clothes
sing,372.8285036470657,55,Electronics
career,377.1277044330237,92,Electronics
drug,231.83167415471138,80,Books
decision,195.28407254844328,85,Electronics
herself,463.5203833748094,94,Books
boy,43.42265956405788,20,Clothes
area,493.26720822981025,49,Books
management,188.23696955563025,23,Books
woman,317.4814015265722,97,Home
defense,417.2774562087299,47,Books
sort,456.75152150696636,36,Books
maybe,202.3713937819186,22,Home
second,375.9456158103737,31,Clothes
offer,493.58606445069483,61,Home
fill,329.22831034462286,44,Sports
mention,174.42973764397073,54,Sports
office,314.3442399719193,29,Electronics
dog,39.41254213262308,17,Books
throughout,86.91069857962475,81,Electronics
view,433.54526295689965,12,Electronics
individual,219.44225908046138,84,Home
add,326.5314597634973,24,Sports
car,477.8079473852484,62,Books
phone,499.4367328449538,43,Sports
affect,56.16085546861701,52,Electronics
explain,105.9744503367446,22,Sports
author,160.69603175835567,100,Sports
throughout,436.8685553680036,57,Books
stay,12.14830290014265,41,Sports
win,345.1755761837952,75,Sports
husband,449.4692986843965,100,Home
be,252.6172670750441,13,Home
plant,33.62932483022155,52,Clothes
likely,451.95432143010413,71,Books
carry,33.13294393009676,91,Sports
matter,124.42824306070064,69,Home
early,367.7804828552422,11,Electronics
them,235.83018250923095,59,Electronics
low,398.4826008238994,5,Home
form,300.7563069881938,37,Clothes
serve,256.1783586704196,85,Sports
dog,91.08053719454767,69,Clothes
sure,402.6551678179055,62,Home
rather,436.14465295785834,46,Sports
cup,189.3195493893908,76,Electronics
force,393.5449148889761,91,Clothes
among,482.81732305925124,7,Sports
suggest,339.9956785638136,36,Clothes
study,421.5538046082905,41,Clothes
view,473.5989152038219,18,Home
finish,419.5181587339975,44,Home
medical,59.91430812947228,77,Electronics
force,336.4403992795782,76,Electronics
majority,140.74313216507718,1,Books
establish,463.81603862910845,27,Home
financial,431.50524164208076,66,Clothes
trouble,309.5869540879797,63,Home
various,56.09727912456664,23,Home
soldier,78.4042729241886,10,Books
history,303.7327000664147,33,Clothes
material,164.92107079595783,28,Electronics
debate,373.8446158324659,88,Electronics
attack,334.8348761212555,42,Home
finish,182.90888511271442,87,Home
then,239.82085043421154,43,Electronics
maintain,344.3253071349146,64,Electronics
street,67.82439948054301,46,Sports
skin,150.2689567170277,63,Books
success,277.2035243456158,68,Electronics
store,173.91962659410953,34,Electronics
series,197.48664029499255,85,Electronics
fear,378.20883423405473,54,Clothes
born,287.108521867381,1,Electronics
part,128.47657804589426,65,Sports
floor,151.420579725762,99,Home
former,364.806984072088,79,Sports
speak,161.5680936310886,43,Books
nature,216.84715763690124,18,Books
beyond,407.28341847037126,60,Home
employee,311.7285966327076,54,Electronics
school,96.29937476519214,8,Books
raise,233.46205929005038,67,Clothes
officer,489.3075659667288,95,Electronics
control,478.93441334319203,11,Clothes
money,71.81260049046031,92,Electronics
still,140.73258816512893,63,Electronics
team,162.97741275343344,98,Home
machine,447.77643484733557,20,Clothes
whole,122.45653881304902,30,Electronics
of,285.8085974334091,75,Sports
something,337.5375832722548,81,Books
away,26.87054788115304,68,Books
future,253.61470407857442,11,Books
no,112.15936893553591,80,Clothes
nearly,440.7696703673237,82,Electronics
approach,85.7676232461892,52,Sports
off,77.36003712197518,91,Electronics
entire,99.31337842143066,85,Clothes
situation,482.70834291672134,10,Books
stop,64.72742463840133,3,Clothes
lawyer,51.97718104109613,19,Clothes
year,355.41292383907523,27,Sports
think,456.7858465796807,72,Electronics
rule,58.03454334965451,51,Home
west,442.5506730450075,87,Electronics
would,17.119137612626027,83,Clothes
south,365.60988249934076,19,Clothes
until,447.21469468284937,52,Electronics
arrive,414.3156988439262,25,Sports
or,153.3998193839377,26,Books
unit,86.25692677206267,98,Electronics
size,83.24754787863012,51,Clothes
own,434.1751919288985,39,Electronics
former,104.46596024593751,34,Books
old,212.4130759253522,11,Sports
note,61.92672491359828,70,Books
end,366.1151680364948,21,Electronics
much,286.28800500315,46,Books
throughout,200.89221056297018,84,Clothes
else,445.5641238334452,32,Books
language,476.7733209963582,14,Books
officer,68.67235740370305,6,Electronics
economic,114.0817378431506,34,Sports
worker,54.80231351269097,56,Books
include,385.45231547809607,95,Books
financial,66.39142960147713,89,Electronics
late,164.8862732977894,61,Books
glass,143.1482329246281,85,Books
direction,331.6680064186954,4,Electronics
network,74.19077620952805,74,Home
memory,499.4291665768208,51,Electronics
care,82.91708752156573,28,Clothes
scientist,276.0429347120807,74,Books
miss,217.4437492617558,94,Home
its,304.86417537314503,75,Electronics
dog,150.50230192458056,68,Sports
charge,220.03638860861184,89,Sports
who,347.00541048287107,68,Sports
fall,325.14016426694417,14,Clothes
population,495.23924619693287,13,Home
their,440.4898087411629,56,Home
voice,461.0966844708664,28,Electronics
describe,172.9315492618012,29,Electronics
note,397.1310296188164,83,Electronics
alone,240.50881742376868,88,Books
appear,95.86906103790716,54,Electronics
computer,62.004770069670805,63,Electronics
long,408.29415538778295,84,Sports
well,302.7653598682868,89,Electronics
seat,304.92672612144224,50,Electronics
kid,192.75879065535156,57,Sports
far,385.81545111246436,59,Sports
away,247.6440435825707,11,Clothes
election,217.57791124360358,40,Electronics
evening,334.32731319917923,11,Books
night,419.66897515891156,21,Sports
take,38.813588137988965,95,Clothes
indeed,333.60031163041674,44,Clothes
mission,427.1113612162634,55,Books
after,432.46675136824416,7,Home
throw,153.04061285041837,9,Electronics
paper,399.2594517678136,74,Sports
view,427.53686511489764,100,Home
almost,429.96233597572586,42,Electronics
issue,261.7978348636367,24,Books
people,214.49528358641027,25,Electronics
tend,207.27447037129542,44,Clothes
easy,86.02033885184608,73,Clothes
strong,319.0752458159163,36,Electronics
girl,23.957153723982223,10,Books
report,302.75342524704985,13,Electronics
enough,325.75791685537115,39,Electronics
economy,78.75373025498205,80,Electronics
alone,25.31063744955808,50,Clothes
to,393.43534901208466,65,Electronics
pass,382.78638897795406,96,Sports
worry,56.85757523911728,26,Books
fine,451.5618868045933,22,Sports
rock,332.0936908476592,73,Electronics
care,125.02596973262466,33,Home
fire,44.99343132029826,35,Books
one,184.83274044272343,64,Clothes
happy,232.85994496966114,82,Electronics
business,197.53321028886313,87,Sports
nor,268.73482632021626,55,Books
truth,328.61251439725936,16,Sports
himself,102.19907335948706,46,Sports
question,220.96506616315494,40,Home
east,444.81408248369127,43,Electronics
drug,29.058869248500223,62,Home
look,278.20840746990046,29,Electronics
reality,151.5428664065606,67,Clothes
thought,391.1165704754442,17,Home
across,380.8328252289765,67,Clothes
off,301.696066549864,72,Books
admit,416.20136867118185,65,Electronics
man,278.17672870193405,99,Clothes
land,437.1311785794624,95,Books
rest,427.92839771254387,26,Electronics
make,213.92614185339193,65,Home
give,134.88289195994474,37,Books
blood,121.6262017663739,62,Clothes
every,239.4140323200141,84,Home
successful,231.80608640560104,82,Clothes
society,127.01392496165276,63,Clothes
everybody,298.06677619574083,43,Books
your,334.2923782943476,97,Books
free,134.4292654554272,11,Clothes
everybody,119.81591492996039,8,Clothes
benefit,185.7542150992823,65,Books
consumer,284.6523100493333,45,Sports
capital,261.561543603884,5,Clothes
field,59.35646981032835,20,Books
of,177.6140480353982,86,Electronics
attention,202.69696551203546,85,Books
his,176.91565063391252,46,Books
enter,310.82728224483174,72,Books
guess,165.66530222584012,57,Clothes
house,403.5016806452977,63,Home
why,377.8395021037718,95,Home
summer,348.26839968745253,79,Clothes
foot,38.41741401529745,62,Home
rest,105.46483800947395,97,Electronics
collection,202.1134742714371,99,Home
best,381.42600376520227,69,Books
off,481.3500164418556,15,Sports
quite,67.51853377279659,51,Home
those,85.26162396178006,15,Sports
operation,375.49804875298963,20,Books
pressure,330.0159249289305,6,Clothes
president,309.03475502887005,63,Books
great,134.8996610433938,33,Books
professional,172.63167661754025,15,Clothes
pull,446.4362230131043,35,Home
PM,158.24371105347234,33,Clothes
specific,264.71730666846634,60,Books
every,18.804766024497233,45,Sports
sport,134.987734042517,2,Electronics
put,498.2522646314932,86,Clothes
probably,59.02174215701389,71,Electronics
near,100.41609937889133,72,Sports
beautiful,342.96949581667866,87,Books
speak,254.81487928234407,21,Sports
dark,451.42358455055705,29,Clothes
everybody,417.381998398862,84,Electronics
main,123.98190649050983,6,Electronics
attorney,241.88288336604796,32,Sports
Republican,349.0236096402307,100,Home
become,155.8428189868706,36,Clothes
result,490.15889917926313,82,Clothes
face,448.5437761510347,81,Sports
speech,98.35469224692761,38,Sports
since,178.68217743433624,34,Sports
interesting,432.7314466297768,64,Clothes
can,192.19382094698327,76,Sports
leg,300.02600784022695,7,Clothes
physical,274.46755743062107,99,Books
different,499.16762489835116,82,Home
why,147.068755164981,95,Sports
real,207.06997603248846,20,Home
owner,148.89611346810426,64,Clothes
could,280.7165209420835,41,Electronics
reach,131.39118215774744,84,Sports
particularly,120.03201497069968,28,Sports
arrive,36.81556755317119,81,Books
piece,46.77416667083565,5,Home
increase,146.49755943001605,91,Home
administration,488.83545592218536,54,Sports
garden,309.7517312609826,80,Books
age,34.85351460692907,3,Electronics
read,87.17878719667857,56,Home
listen,427.3192578704816,75,Home
century,62.60726702900875,32,Books
ago,465.8344474563316,67,Home
under,481.7138470660576,51,Electronics
together,121.38944225827403,58,Books
almost,292.5826274465773,85,Clothes
kitchen,101.8619868182065,67,Electronics
soon,220.58298991652146,41,Electronics
along,51.55769369779071,85,Books
student,434.43487654252874,91,Clothes
I,399.9903617584584,30,Books
animal,294.6960338013435,27,Clothes
project,106.00202614745788,39,Electronics
smile,35.39612400392076,34,Books
state,123.65390927083229,96,Books
director,399.60564611837765,22,Books
visit,446.0089966596132,76,Clothes
evening,327.742799706113,18,Electronics
activity,116.26561925509728,55,Clothes
according,339.3471384964949,71,Electronics
exist,193.83007228893044,22,Electronics
matter,268.3429854790305,80,Clothes
project,35.117687050704276,21,Sports
public,28.821498607304918,33,Books
relationship,280.32890291378135,17,Clothes
list,82.07595966548602,7,Home
recent,74.77226353622557,41,Home
store,211.68832693514048,55,Electronics
either,96.205423397713,52,Electronics
around,470.2302472378144,42,Home
hotel,215.73505478952595,16,Electronics
front,130.7608683760439,85,Electronics
simply,229.71035483291655,95,Electronics
lot,99.2876704055904,25,Clothes
different,70.82024680212906,16,Home
no,223.36908141889086,8,Books
someone,319.0827936149402,29,Clothes
himself,159.28509667652497,75,Electronics
American,350.8702142103031,88,Sports
even,472.88849147806167,33,Clothes
start,99.43426863009702,50,Books
statement,210.5444176360749,48,Electronics
message,469.3139122585271,100,Books
day,277.27895038546444,41,Sports
will,338.7977930750616,16,Electronics
plan,376.50460676667865,39,Home
serious,40.49910710740177,64,Electronics
art,300.02448451743606,40,Home
bed,117.74409366008139,34,Books
large,394.3772627568935,69,Electronics
learn,101.36487487500983,20,Books
about,51.152436829877075,75,Clothes
minute,203.8506317855771,54,Sports
religious,163.877445878171,8,Clothes
indeed,349.15301595780267,15,Sports
down,414.5236193207047,59,Clothes
kind,260.23140514567336,90,Home
operation,317.8015823343808,52,Books
respond,163.12475163109346,38,Books
theory,440.15048909284474,70,Home
many,388.98806144021063,50,Electronics
might,483.68033213161544,49,Sports
marriage,27.25558960596184,30,Sports
order,353.3562257583662,26,Sports
article,299.09824176941567,65,Clothes
baby,267.31974464981636,57,Electronics
think,486.49652653220596,73,Electronics
right,56.783503222965976,85,Books
listen,483.84486015596065,69,Clothes
light,232.27024425436076,1,Books
if,231.96452161460832,51,Electronics
evening,358.0438077711577,53,Clothes
vote,469.03244302309884,14,Electronics
force,108.61980895531151,27,Books
field,363.34915409478003,1,Sports
current,318.1150702879626,4,Electronics
western,161.35074887448675,73,Home
former,114.528429657334,50,Electronics
environmental,77.57894227002723,16,Sports
power,39.2933501489871,95,Home
system,63.496788151740326,77,Books
push,84.46061234056218,28,Sports
understand,386.70428159201896,95,Books
natural,176.91581593812683,96,Sports
attorney,275.4064645964005,42,Sports
pattern,282.02523409845577,99,Sports
if,203.20359029607542,44,Electronics
pick,100.50686055890385,28,Electronics
hundred,393.70612085828236,27,Clothes
general,169.2747367881193,88,Electronics
red,440.7193894300251,56,Electronics
gun,186.06873234500242,47,Sports
foot,237.66275889998965,29,Books
toward,176.55101014645894,47,Sports
arrive,321.2766567357265,79,Home
address,249.88714970485466,8,Books
dream,117.83467309473137,3,Clothes
so,447.09493485619504,85,Electronics
machine,330.4374715366612,56,Home
market,317.2597752201857,60,Books
write,72.88235505728429,100,Clothes
personal,31.856824629989816,75,Electronics
during,448.780205215754,40,Electronics
firm,499.4699629237933,11,Clothes
its,313.8959007842833,52,Clothes
high,324.7034607162858,75,Electronics
tree,74.4467117474457,33,Sports
look,160.80881397805823,5,Sports
minute,297.5896317190196,78,Sports
movement,132.4310063929185,98,Home
suffer,495.50869336953235,21,Home
manage,496.9132673330221,32,Sports
article,253.25608898969247,13,Clothes
ask,351.8740998830695,58,Sports
direction,135.03809809972788,52,Electronics
enough,88.23319835461201,78,Home
American,32.17957964718804,51,Sports
group,31.272307537593015,64,Sports
much,216.25251840576425,49,Electronics
three,328.38091948118876,18,Home
record,133.1127133163885,45,Clothes
capital,329.90940802830596,31,Clothes
good,315.41367338388727,51,Home
easy,147.23238815054935,29,Clothes
message,74.65475929590514,49,Home
control,272.201275983367,67,Electronics
give,130.91531236602617,14,Sports
rest,482.69836307598285,2,Home
end,443.328339207869,24,Sports
group,420.6342185953292,9,Books
blood,123.34191631270917,8,Clothes
charge,226.4107384293334,11,Home
choose,475.0666439414147,32,Home
push,83.10566634762766,63,Books
sea,12.566465704383134,13,Books
allow,384.86224868905,2,Clothes
build,495.7841703790793,35,Electronics
local,23.48392278682055,37,Clothes
fear,357.65105796198804,3,Electronics
join,111.84048378972844,3,Home
capital,249.03578854642214,22,Electronics
blue,444.2579321652911,29,Clothes
great,69.50582895381814,5,Sports
strong,283.87700386038875,36,Electronics
all,108.95110916493233,3,Clothes
Congress,303.4961289772894,84,Electronics
history,216.19435541589831,100,Home
research,85.85388175812992,77,Electronics
common,276.45641630297786,7,Clothes
drive,77.55974190489513,83,Home
future,375.63609748560907,62,Electronics
specific,413.0960330651445,82,Books
cold,499.50495514601073,81,Sports
paper,90.41592336020139,5,Clothes
name,123.38990886634578,19,Home
standard,153.70255329103585,43,Clothes
sea,246.1520883143026,67,Electronics
represent,56.06517002590804,86,Clothes
though,168.46545808124148,33,Electronics
each,100.02681145173781,72,Sports
wife,301.16230738776255,72,Clothes
stock,201.61548336448115,22,Electronics
day,388.5659190766302,67,Home
rest,205.9252799142997,30,Sports
officer,454.45028965554974,24,Electronics
responsibility,118.87830949079029,69,Sports
under,331.77422003486885,1,Sports
capital,175.2684205193037,16,Books
decision,207.97730816493305,61,Electronics
south,475.2075853208518,92,Books
play,459.38719095195745,68,Books
get,112.15486481632973,60,Home
become,391.6056326831018,70,Sports
participant,173.62037293046103,35,Electronics
some,61.840335517254466,36,Books
dark,83.11410466042253,65,Clothes
either,299.3486986839578,26,Clothes
son,161.00522668204758,44,Clothes
table,109.88205210141751,92,Sports
before,323.6015455449506,4,Books
really,444.4848251456804,34,Books
best,168.0799202139154,35,Home
sport,40.89822707676371,79,Clothes
put,299.80457305848927,34,Sports
lead,425.0450115683186,48,Sports
crime,414.7850430629544,37,Books
score,368.1606595734984,40,Clothes
good,392.33292335782266,12,Sports
including,340.0811847453539,8,Clothes
third,433.1347821544637,84,Electronics
simply,108.1842723245774,37,Books
catch,18.092527952345872,4,Home
tree,152.07678851224452,9,Home
into,184.4001562406823,23,Sports
cut,311.18995655312773,90,Books
recognize,378.4404147490505,44,Electronics
various,158.6448776739438,98,Sports
respond,38.09629380837784,28,Sports
someone,34.77321298264225,93,Electronics
size,366.77228870942685,4,Electronics
with,421.24631771144163,85,Home
could,454.655450498038,81,Sports
environment,50.32028423994346,17,Electronics
everybody,258.3234364153635,56,Clothes
painting,231.83893480768748,45,Home
expect,45.699034158921116,60,Books
goal,429.2747630631413,53,Books
stuff,332.9001513989193,40,Clothes
affect,442.71894078147426,4,Electronics
clear,324.1598331180207,51,Home
military,264.8472878818876,7,Books
case,499.49084917873154,99,Sports
perform,349.89001144466596,77,Electronics
economy,67.75554986146368,48,Electronics
level,136.3630623853698,53,Electronics
prove,256.55540764164925,16,Books
beautiful,85.40657558222803,72,Clothes
half,260.32186155632655,92,Clothes
traditional,475.02650225152735,65,Clothes
whom,256.9717149241868,4,Home
half,446.46029189344824,50,Home
my,188.6001304016439,81,Home
attack,448.3299304979362,65,Home
amount,325.3311818371488,57,Clothes
break,176.7294052872926,100,Sports
tree,226.54576286811397,32,Sports
population,110.62276150685817,95,Books
most,468.13557690887313,73,Home
official,244.75796765988684,18,Clothes
time,309.3067392838599,33,Books
example,409.3443831664277,48,Home
recognize,108.89656094465171,29,Books
check,12.184499000706577,11,Electronics
usually,144.9350324245118,8,Home
go,378.70306397824965,85,Home
time,31.063452465639227,15,Home
single,44.95094239892364,96,Books
other,119.55653012358209,50,Clothes
long,366.04108583505797,33,Books
others,413.9622624895464,85,Home
tree,145.1388581798213,86,Books
figure,64.58790925594367,84,Books
rock,313.5468933349084,63,Sports
fine,203.93867675828835,49,Clothes
street,423.36654861847313,16,Home
test,34.75536399409329,23,Clothes
land,325.45098470126885,84,Books
west,85.88851170549226,16,Clothes
common,26.596685656439348,51,Home
almost,193.83304508999797,72,Electronics
interesting,456.7148842234466,20,Sports
artist,445.56349731998495,20,Clothes
ever,471.727913374187,16,Books
voice,284.6071259746256,63,Clothes
southern,58.17995866646538,60,Home
age,329.1111215774804,80,Electronics
six,55.94532870017088,65,Home
contain,157.11007563111238,52,Clothes
must,37.74321483338137,71,Books
practice,336.9527717697812,10,Sports
again,270.53072237112667,73,Clothes
performance,76.82610291797207,40,Sports
return,63.42484193509385,31,Clothes
your,435.4609353782428,88,Sports
animal,433.4708421490338,73,Home
oil,396.3922802599571,25,Electronics
way,242.4154059793336,65,Electronics
hospital,309.82997302789073,73,Electronics
involve,428.8124765687516,95,Home
house,142.07232280696672,38,Electronics
speech,494.592015488403,100,Electronics
another,464.0341913258179,50,Home
while,468.8174975065417,44,Sports
community,217.81785061225412,90,Sports
television,330.69083192364917,10,Home
across,238.05842983701916,64,Books
while,287.67995556433436,16,Home
bad,214.2108304880842,76,Sports
most,244.8456730058937,25,Books
say,290.82519507025864,81,Sports
international,229.49659606015578,27,Clothes
itself,414.44972583758084,99,Books
nature,159.4433408504492,17,Clothes
happen,226.34264244352144,62,Books
month,144.52428188156063,66,Books
truth,305.2316021670501,45,Sports
dinner,29.537654183181836,27,Electronics
performance,168.0691659422145,92,Books
either,486.22128915259896,95,Home
community,285.68694300715947,91,Home
under,263.72007826834295,3,Clothes
future,189.2993595468819,66,Electronics
need,486.01598390040755,50,Sports
offer,220.47550684560252,52,Home
foreign,266.150128210915,10,Books
production,418.99062625075703,63,Sports
what,151.90080997523975,4,Electronics
clear,389.71684001036624,73,Clothes
start,234.36908644829478,18,Electronics
pass,438.68520098732733,18,Clothes
close,202.35059631047565,31,Books
whose,175.4695687157357,80,Electronics
relate,330.7919495534185,45,Sports
dark,184.27732838690466,27,Clothes
one,12.36669603712043,96,Home
wonder,389.66450766980256,16,Sports
part,62.689455005381255,76,Sports
owner,475.3045833728988,40,Electronics
remain,456.4420358271387,68,Electronics
gas,458.54024369784094,29,Home
beyond,407.2420260932193,55,Sports
movement,363.46016788784783,42,Home
health,35.31226619310438,35,Clothes
down,161.4132934148679,91,Sports
difference,488.5312612731237,59,Electronics
mean,491.9448867973709,93,Clothes
course,208.40131841534247,56,Home
look,338.63564533410363,79,Books
book,162.85746290657156,35,Home
late,335.03895238830495,52,Electronics
road,331.9119747339054,80,Sports
brother,495.0145889559781,73,Home
trade,127.64008122878313,92,Clothes
TV,49.39819797273409,25,Books
over,265.28250303833477,26,Books
collection,453.65831669760377,100,Home
all,199.2836311918063,7,Sports
executive,413.8396381398083,53,Electronics
despite,217.63378630181646,8,Home
camera,143.8902134507103,71,Clothes
its,374.1224359829151,44,Sports
sister,308.3483176105171,88,Books
serious,90.96725900922466,76,Clothes
local,284.15474415917913,9,Electronics
worker,35.53802615692166,99,Electronics
nothing,154.2082498903164,33,Sports
hand,475.9788332411775,67,Books
experience,78.91546890945922,81,Clothes
chance,336.4846566648784,3,Electronics
rule,214.97923633357092,11,Books
even,79.91976668313453,77,Sports
week,10.433496677830219,85,Clothes
whom,152.2714402082667,30,Clothes
friend,464.6258681202608,62,Books
require,102.3734487464974,46,Home
week,425.2509344738553,35,Books
prove,467.31765310245424,70,Sports
until,105.78422361157907,89,Electronics
try,105.89262840968772,92,Sports
piece,61.714577981000595,47,Home
become,31.630919021728634,62,Clothes
song,309.68513535840225,5,Clothes
join,155.59798777946398,56,Books
form,189.4724717381887,90,Electronics
role,386.2484174271873,76,Sports
push,212.26625590492165,66,Home
beat,382.6097040744665,16,Books
since,147.5842891582125,81,Clothes
interview,263.33498140244495,25,Sports
